Barri,Metres_Quadrats,Num_Habitacions,Num_Lavabos,Preu,Tipus_Immoble
Sant Ramon - Maternitat,135,4,2,1.550 €,Piso
Sant Gervasi - Galvany,70,3,1,950 €,Piso
Sant Gervasi - Bonanova,70,,1,800 €,Piso
Gòtic,120,4,2,1.150 €,Piso
Sant Ramon - Maternitat,120,4,2,1.250 €,Piso
Badal,75,2,1,900 €,Piso
Vila de Gràcia,40,,1,700 €,Piso
Sant Antoni,85,3,2,1.050 €,Piso
Sant Antoni,80,4,2,4.566 €,Apartamento
Esquerra Alta de l´Eixample,66,2,1,925 €,Piso
Sarrià,60,,1,1.345 €,Piso
Sagrada Família,85,4,1,975 €,Piso
Sant Gervasi - Galvany,247,4,3,3.250 €,Piso
Raval,57,2,1,750 €,Piso
Gòtic,61,,1,1.200 €,Piso
Esquerra Alta de l´Eixample,90,3,5,1.295 €,Dúplex
Poblenou,85,3,2,1.200 €,Piso
Raval,81,3,1,1.300 €,Apartamento
Pedralbes,166,3,3,1.990 €,Piso
Gòtic,72,,1,1.100 €,Apartamento
Sarrià,101,3,2,2.150 €,Ático
Poble Sec,70,2,1,850 €,Piso
Sants,76,2,2,1.100 €,Piso
Camp d´en Grassot - Gràcia N.,70,2,1,1.060 €,Piso
Putget - Farró,51,2,1,950 €,Ático
Raval,40,,2,700 €,Piso
Camp d´en Grassot - Gràcia N.,55,2,1,847 €,Piso
Dreta de l´Eixample,84,2,1,975 €,Piso
Vallcarca - Penitents,69,2,2,1.200 €,Piso
Sant Gervasi - Galvany,95,2,2,1.400 €,Piso
Gòtic,70,3,1,905 €,Piso
St. Pere - Sta. Caterina - El Born,69,,1,850 €,Loft
Sants,85,3,2,1.300 €,Piso
Sant Gervasi - Bonanova,80,3,1,945 €,Piso
Navas,69,2,1,1.443 €,Piso
Sant Gervasi - Galvany,70,,1,1.195 €,Piso
St. Pere - Sta. Caterina - El Born,181,3,4,3.000 €,Piso
Sagrada Família,89,4,2,1.000 €,Piso
Poblenou,73,2,2,1.300 €,Piso
Sagrada Família,74,4,1,990 €,Piso
Sarrià,143,4,2,2.000 €,Piso
Sant Antoni,100,3,2,1.300 €,Piso
Sant Gervasi - Bonanova,63,2,1,950 €,Piso
Putget - Farró,151,3,2,1.700 €,Piso
St. Pere - Sta. Caterina - El Born,101,2,1,1.080 €,Piso
St. Pere - Sta. Caterina - El Born,85,2,1,1.050 €,Piso
Esquerra Alta de l´Eixample,120,4,2,1.400 €,Piso
El Coll,93,3,2,1.100 €,Piso
Sant Gervasi - Galvany,102,3,2,1.400 €,Piso
Dreta de l´Eixample,220,3,2,2.200 €,Piso
St. Pere - Sta. Caterina - El Born,90,,1,997 €,Piso
Esquerra Alta de l´Eixample,120,4,2,1.400 €,Piso
Les Corts,99,4,1,1.140 €,Piso
Sant Gervasi - Bonanova,80,2,1,900 €,Piso
Gòtic,120,3,1,1.300 €,Piso
Esquerra Alta de l´Eixample,117,4,2,1.400 €,Apartamento
Poblenou,110,4,2,1.300 €,Piso
Poblenou,70,3,1,857 €,Piso
St. Pere - Sta. Caterina - El Born,60,2,1,795 €,Piso
Sagrada Família,77,3,1,1.150 €,Piso
Esquerra Baixa de l´Eixample,77,4,1,1.075 €,Piso
Putget - Farró,78,2,1,1.100 €,Piso
Putget - Farró,110,3,1,950 €,Ático
Esquerra Alta de l´Eixample,81,3,2,1.300 €,Piso
Vila de Gràcia,105,3,2,1.100 €,Piso
Sagrada Família,60,3,2,1.000 €,Piso
Les Corts,122,4,3,2.280 €,Piso
Dreta de l´Eixample,66,2,1,1.300 €,Piso
Besòs - Maresme,71,3,1,800 €,Piso
Esquerra Alta de l´Eixample,80,2,2,1.050 €,Piso
Poble Sec,30,,1,600 €,Loft
Sagrada Família,70,3,1,900 €,Piso
Esquerra Alta de l´Eixample,110,3,2,1.350 €,Piso
Sant Gervasi - Galvany,149,3,2,3.600 €,Piso
Camp de l´Arpa,65,2,1,1.050 €,Apartamento
Taxonera,83,3,2,1.300 €,Piso
Tres Torres,50,,1,1.100 €,Piso
Barceloneta,50,2,1,850 €,Piso
Gòtic,103,2,1,1.600 €,Piso
Camp de l´Arpa,100,4,2,1.250 €,Piso
Camp de l´Arpa,63,,1,800 €,Piso
Barceloneta,36,,1,600 €,Piso
Putget - Farró,80,3,1,910 €,Piso
Sagrada Família,105,3,2,1.300 €,Piso
Barceloneta,40,2,1,800 €,Ático
Sant Gervasi - Galvany,102,3,2,1.400 €,Piso
Fort Pienc,90,3,2,1.100 €,Piso
Esquerra Baixa de l´Eixample,90,3,1,1.000 €,Piso
Esquerra Baixa de l´Eixample,150,4,2,2.100 €,Piso
Fort Pienc,85,3,2,1.150 €,Piso
Tres Torres,147,4,3,3.100 €,Piso
Diagonal Mar - La Mar Bella,80,3,2,1.450 €,Piso
Putget - Farró,130,4,3,1.700 €,Piso
Dreta de l´Eixample,60,,1,950 €,Apartamento
St. Pere - Sta. Caterina - El Born,46,,2,950 €,Apartamento
Sant Gervasi - Galvany,47,,1,890 €,Piso
Sagrada Família,75,3,1,950 €,Piso
Dreta de l´Eixample,152,4,2,2.500 €,Piso
St. Pere - Sta. Caterina - El Born,115,2,2,2.900 €,Piso
St. Pere - Sta. Caterina - El Born,153,3,2,1.900 €,Piso
Esquerra Alta de l´Eixample,64,2,1,995 €,Piso
Dreta de l´Eixample,180,2,2,3.500 €,Piso
Tres Torres,143,4,3,2.000 €,Piso
Tres Torres,143,4,3,2.000 €,Piso
Sant Gervasi - Galvany,139,3,1,1.600 €,Piso
Dreta de l´Eixample,140,4,3,2.100 €,Piso
Dreta de l´Eixample,55,,1,990 €,Apartamento
Sagrada Família,90,4,1,950 €,Piso
El Coll,67,2,1,700 €,Piso
Vila de Gràcia,72,3,1,990 €,Piso
Sant Gervasi - Galvany,220,5,3,3.200 €,Piso
Tres Torres,201,4,2,3.750 €,Piso
Camp d´en Grassot - Gràcia N.,65,3,1,1.100 €,Piso
Camp d´en Grassot - Gràcia N.,95,4,1,1.125 €,Piso
St. Pere - Sta. Caterina - El Born,56,,1,830 €,Piso
Poble Sec,70,3,1,1.200 €,Planta
St. Pere - Sta. Caterina - El Born,153,3,2,1.900 €,Piso
St. Pere - Sta. Caterina - El Born,55,2,1,800 €,Piso
Sants,50,2,1,700 €,Ático
Pedralbes,172,4,3,2.500 €,Piso
Gòtic,39,,1,725 €,Piso
Esquerra Alta de l´Eixample,90,3,2,1.300 €,Piso
St. Pere - Sta. Caterina - El Born,153,3,2,1.900 €,Apartamento
St. Pere - Sta. Caterina - El Born,95,2,1,1.080 €,Piso
Hostafrancs,55,,1,1.200 €,Ático
Poblenou,115,3,2,1.440 €,Piso
Poblenou,75,2,1,1.300 €,Piso
Sants,42,2,1,700 €,Piso
Gòtic,60,2,1,1.100 €,Piso
Poble Sec,70,3,1,900 €,Piso
La Salut,70,2,1,900 €,Piso
St. Pere - Sta. Caterina - El Born,60,,1,850 €,Apartamento
