"","Barri","Metres_Quadrats","Num_Habitacions","Num_Lavabos","Preu","Tipus_Immoble","Districte"
"569","Esquerra Alta de l´Eixample",95,3,2,1300,"Piso","Eixample"
"570","Sants",66,4,1,875,"Piso","Sants-Montjuïc"
"573","Sant Gervasi - Galvany",75,2,2,1800,"Ático","Sarrià-Sant Gervasi"
"574","Sants",65,3,1,800,"Piso","Sants-Montjuïc"
"575","Baix Guinardó",91,2,1,1000,"Piso","Horta-Guinardó"
"576","Sant Gervasi - Galvany",139,4,2,1750,"Piso","Sarrià-Sant Gervasi"
"578","Camp de l´Arpa",72,2,1,800,"Piso","Sant Martí"
"579","Camp de l´Arpa",91,4,2,1100,"Piso","Sant Martí"
"580","Sant Gervasi - Galvany",160,4,2,1800,"Piso","Sarrià-Sant Gervasi"
"582","Camp d´en Grassot - Gràcia N.",80,3,1,1990,"Ático","Gràcia"
"583","Pedralbes",172,4,3,2500,"Piso","Les Corts"
"587","Sant Antoni",94,3,2,1350,"Piso","Eixample"
"588","Sant Ramon - Maternitat",80,4,2,1450,"Piso","Les Corts"
"589","Vila de Gràcia",76,2,1,1200,"Piso","Gràcia"
"590","Esquerra Baixa de l´Eixample",100,3,2,1250,"Piso","Eixample"
"591","Raval",50,2,1,940,"Piso","Ciutat Vella"
"592","Dreta de l´Eixample",180,3,2,2700,"Piso","Eixample"
"593","Badal",50,2,1,800,"Piso","Sants-Montjuïc"
"594","Sant Gervasi - Galvany",285,5,5,5300,"Piso","Sarrià-Sant Gervasi"
"597","St. Pere - Sta. Caterina - El Born",70,2,1,950,"Piso","Ciutat Vella"
"598","Hostafrancs",98,3,2,1100,"Piso","Sants-Montjuïc"
"599","Dreta de l´Eixample",100,2,2,3000,"Piso","Eixample"
"600","Dreta de l´Eixample",77,3,2,1350,"Piso","Eixample"
"601","Besòs - Maresme",100,3,2,2400,"Apartamento","Sant Martí"
"602","Dreta de l´Eixample",88,2,1,1350,"Piso","Eixample"
"603","Dreta de l´Eixample",90,3,1,1030,"Piso","Eixample"
"604","Sagrada Família",50,2,1,950,"Piso","Eixample"
"605","Camp de l´Arpa",90,3,2,1000,"Piso","Sant Martí"
"606","Diagonal Mar - La Mar Bella",79,2,1,1225,"Piso","Sant Martí"
"607","Poble Sec",50,2,1,930,"Piso","Sants-Montjuïc"
"609","Sant Ramon - Maternitat",83,3,2,1100,"Piso","Les Corts"
"610","Vila de Gràcia",50,2,1,1000,"Piso","Gràcia"
"611","La Salut",78,3,1,790,"Piso","Gràcia"
"612","Dreta de l´Eixample",206,4,4,2250,"Piso","Eixample"
