"","Barri","Metres_Quadrats","Num_Habitacions","Num_Lavabos","Preu","Tipus_Immoble","Districte"
"5921","Esquerra Baixa de l´Eixample",70,2,1,900,"Piso","Eixample"
"5922","Les Corts",83,2,1,1800,"Piso","Les Corts"
"5923","Dreta de l´Eixample",130,3,2,1600,"Piso","Eixample"
"5924","Esquerra Alta de l´Eixample",80,3,1,1217,"Piso","Eixample"
"5925","Esquerra Alta de l´Eixample",60,2,1,1030,"Piso","Eixample"
"5926","Sant Ramon - Maternitat",121,3,2,1955,"Piso","Les Corts"
"5927","Les Corts",86,3,1,900,"Piso","Les Corts"
"5928","Poblenou",80,3,1,870,"Piso","Sant Martí"
"5929","Esquerra Baixa de l´Eixample",68,2,2,1150,"Piso","Eixample"
"5930","Fort Pienc",85,3,1,1150,"Piso","Eixample"
"5931","Raval",55,2,1,950,"Piso","Ciutat Vella"
"5934","Diagonal Mar - La Mar Bella",140,2,2,2300,"Piso","Sant Martí"
"5935","Badal",80,3,1,990,"Piso","Sants-Montjuïc"
"5937","Esquerra Alta de l´Eixample",60,2,1,1700,"Piso","Eixample"
"5942","Vila de Gràcia",60,2,2,1500,"Loft","Gràcia"
"5943","Raval",50,2,1,1250,"Piso","Ciutat Vella"
"5946","Dreta de l´Eixample",90,3,2,1350,"Piso","Eixample"
"5947","Sant Antoni",53,2,1,1290,"Piso","Eixample"
"5949","Camp d´en Grassot - Gràcia N.",133,3,2,1650,"Piso","Gràcia"
"5950","Dreta de l´Eixample",212,4,2,2400,"Piso","Eixample"
"5951","Dreta de l´Eixample",80,3,2,1400,"Piso","Eixample"
"5952","Esquerra Baixa de l´Eixample",87,2,2,1286,"Piso","Eixample"
"5953","Pedralbes",201,4,3,4950,"Piso","Les Corts"
"5954","Putget - Farró",75,3,1,950,"Piso","Sarrià-Sant Gervasi"
"5955","Diagonal Mar - La Mar Bella",79,2,1,1225,"Piso","Sant Martí"
"5956","Camp d´en Grassot - Gràcia N.",68,2,1,1000,"Piso","Gràcia"
"5957","Raval",90,3,1,1350,"Piso","Ciutat Vella"
"5958","Montbau",70,3,1,900,"Piso","Horta-Guinardó"
"5959","Sant Gervasi - Galvany",240,4,4,3800,"Piso","Sarrià-Sant Gervasi"
"5960","Sant Antoni",86,3,2,1300,"Piso","Eixample"
"5961","Sant Gervasi - Bonanova",65,2,2,1400,"Piso","Sarrià-Sant Gervasi"
"5962","Raval",55,2,1,750,"Apartamento","Ciutat Vella"
"5963","Pedralbes",252,4,4,3300,"Casa","Les Corts"
"5964","Vila de Gràcia",70,2,2,1200,"Apartamento","Gràcia"
"5965","Vila de Gràcia",80,2,1,1150,"Piso","Gràcia"
"5966","Can Baró",115,3,2,1000,"Dúplex","Horta-Guinardó"
"5967","Sant Andreu",48,3,1,800,"Piso","Sant Andreu"
"5968","Esquerra Alta de l´Eixample",72,2,1,1419,"Ático","Eixample"
"5969","Camp d´en Grassot - Gràcia N.",75,2,1,890,"Ático","Gràcia"
"5970","Camp d´en Grassot - Gràcia N.",140,2,3,1400,"Piso","Gràcia"
"5971","Camp d´en Grassot - Gràcia N.",85,2,2,1860,"Piso","Gràcia"
"5972","Dreta de l´Eixample",129,3,2,1850,"Piso","Eixample"
"5973","Badal",61,2,1,750,"Piso","Sants-Montjuïc"
"5974","Esquerra Baixa de l´Eixample",97,3,2,950,"Piso","Eixample"
"5975","Poble Sec",55,3,1,856,"Piso","Sants-Montjuïc"
"5976","Fort Pienc",85,4,1,1150,"Piso","Eixample"
"5977","Esquerra Alta de l´Eixample",80,2,2,1650,"Piso","Eixample"
"5978","Vallcarca - Penitents",65,2,1,1395,"Piso","Gràcia"
"5979","Vallcarca - Penitents",65,2,1,1250,"Piso","Gràcia"
"5980","Vila de Gràcia",80,3,1,1190,"Piso","Gràcia"
"5981","Poble Sec",85,3,1,860,"Piso","Sants-Montjuïc"
"5984","Vila de Gràcia",108,3,2,1300,"Piso","Gràcia"
"5986","Dreta de l´Eixample",67,2,2,1890,"Piso","Eixample"
"5987","Camp de l´Arpa",57,2,1,925,"Piso","Sant Martí"
"5989","Gòtic",142,3,2,2000,"Piso","Ciutat Vella"
"5990","Sagrada Família",110,3,1,1100,"Piso","Eixample"
"5991","Sant Antoni",100,3,2,1250,"Piso","Eixample"
"5992","Tres Torres",128,3,2,2200,"Piso","Sarrià-Sant Gervasi"
"5993","Esquerra Alta de l´Eixample",73,3,1,1100,"Piso","Eixample"
"5994","Taxonera",65,2,1,900,"Piso","Horta-Guinardó"
"5995","Esquerra Alta de l´Eixample",70,2,1,1250,"Piso","Eixample"
"5998","Fort Pienc",110,4,2,1250,"Piso","Eixample"
"5999","Sant Antoni",114,4,2,1700,"Piso","Eixample"
"6000","Dreta de l´Eixample",116,4,2,1500,"Piso","Eixample"
"6001","Les Corts",140,2,2,1790,"Dúplex","Les Corts"
"6002","Dreta de l´Eixample",162,4,2,2300,"Ático","Eixample"
"6003","Sant Gervasi - Bonanova",123,3,2,1800,"Piso","Sarrià-Sant Gervasi"
"6004","Dreta de l´Eixample",95,3,1,1415,"Piso","Eixample"
"6005","Gòtic",82,2,2,1250,"Piso","Ciutat Vella"
"6007","Provençals del Poblenou",75,4,1,950,"Piso","Sant Martí"
"6009","Poble Sec",54,2,2,1090,"Piso","Sants-Montjuïc"
"6010","Sagrada Família",63,3,1,850,"Piso","Eixample"
"6012","Raval",63,2,1,720,"Piso","Ciutat Vella"
"6013","Prosperitat",87,4,1,975,"Apartamento","Nou Barris"
"6014","Dreta de l´Eixample",68,3,2,1600,"Apartamento","Eixample"
"6015","Sagrada Família",100,4,2,1050,"Piso","Eixample"
"6016","Sant Gervasi - Galvany",480,5,5,8500,"Piso","Sarrià-Sant Gervasi"
"6017","Congrés - Indians",55,2,1,1100,"Piso","Sant Andreu"
"6018","Sant Antoni",56,2,1,950,"Piso","Eixample"
"6021","Gòtic",63,2,2,1200,"Piso","Ciutat Vella"
"6022","Les Corts",60,2,1,950,"Piso","Les Corts"
"6023","Esquerra Alta de l´Eixample",106,3,2,2500,"Piso","Eixample"
"6024","Dreta de l´Eixample",87,2,2,2500,"Piso","Eixample"
"6025","Dreta de l´Eixample",80,3,2,950,"Apartamento","Eixample"
"6026","Esquerra Baixa de l´Eixample",80,3,2,1290,"Apartamento","Eixample"
"6027","Sant Gervasi - Galvany",161,3,2,1550,"Piso","Sarrià-Sant Gervasi"
"6028","Esquerra Alta de l´Eixample",55,2,1,1200,"Ático","Eixample"
"6029","Gòtic",130,2,1,1750,"Apartamento","Ciutat Vella"
"6030","St. Pere - Sta. Caterina - El Born",92,3,2,1200,"Piso","Ciutat Vella"
"6031","Provençals del Poblenou",120,3,1,1100,"Piso","Sant Martí"
"6034","Raval",65,2,1,1000,"Piso","Ciutat Vella"
"6035","Sarrià",95,3,2,1300,"Piso","Sarrià-Sant Gervasi"
"6036","Poble Sec",54,2,2,1190,"Piso","Sants-Montjuïc"
"6037","Sagrada Família",65,2,1,1440,"Piso","Eixample"
"6038","Sant Gervasi - Galvany",165,3,2,2795,"Piso","Sarrià-Sant Gervasi"
"6039","Camp de l´Arpa",70,2,2,1150,"Piso","Sant Martí"
"6041","Esquerra Alta de l´Eixample",75,2,2,1700,"Piso","Eixample"
"6042","Sant Gervasi - Galvany",98,2,2,4300,"Ático","Sarrià-Sant Gervasi"
"6043","Sant Antoni",100,4,2,1350,"Piso","Eixample"
"6045","Raval",140,3,1,1200,"Piso","Ciutat Vella"
"6046","Raval",140,3,1,1200,"Piso","Ciutat Vella"
"6047","La Salut",89,4,2,1025,"Piso","Gràcia"
"6048","Les Corts",78,4,2,1100,"Piso","Les Corts"
"6049","Les Corts",82,2,1,1000,"Piso","Les Corts"
"6050","Esquerra Baixa de l´Eixample",116,3,2,1500,"Piso","Eixample"
"6051","Vila de Gràcia",58,2,1,780,"Apartamento","Gràcia"
"6054","Poblenou",140,3,2,2300,"Piso","Sant Martí"
"6055","Diagonal Mar - La Mar Bella",130,3,2,3900,"Piso","Sant Martí"
"6056","Sant Gervasi - Galvany",185,3,3,2850,"Piso","Sarrià-Sant Gervasi"
"6057","Sant Gervasi - Galvany",133,3,2,3500,"Piso","Sarrià-Sant Gervasi"
"6058","Sant Gervasi - Galvany",240,5,4,3600,"Piso","Sarrià-Sant Gervasi"
"6059","Fort Pienc",81,3,1,975,"Piso","Eixample"
"6061","Sagrada Família",88,3,1,950,"Piso","Eixample"
"6062","Esquerra Baixa de l´Eixample",65,2,2,1350,"Piso","Eixample"
"6063","Esquerra Alta de l´Eixample",62,3,1,895,"Piso","Eixample"
"6064","Raval",84,2,1,950,"Apartamento","Ciutat Vella"
"6066","Badal",98,4,2,1200,"Piso","Sants-Montjuïc"
"6069","Guinardó",120,2,1,1350,"Piso","Horta-Guinardó"
"6070","Fort Pienc",85,3,2,1650,"Piso","Eixample"
"6071","Esquerra Alta de l´Eixample",90,3,2,1300,"Piso","Eixample"
"6072","Poble Sec",55,2,1,980,"Piso","Sants-Montjuïc"
"6073","Sants",110,3,2,1200,"Piso","Sants-Montjuïc"
"6074","Vila de Gràcia",104,3,2,1095,"Piso","Gràcia"
"6076","Sant Antoni",47,2,1,900,"Piso","Eixample"
"6077","Sant Gervasi - Bonanova",500,5,6,6000,"Casa","Sarrià-Sant Gervasi"
"6078","Baix Guinardó",65,3,1,890,"Piso","Horta-Guinardó"
"6079","Barceloneta",40,2,1,900,"Piso","Ciutat Vella"
"6080","Sant Ramon - Maternitat",130,4,2,1550,"Piso","Les Corts"
"6081","Diagonal Mar - La Mar Bella",69,2,1,924,"Piso","Sant Martí"
"6082","Sant Antoni",83,3,1,914,"Piso","Eixample"
"6083","Dreta de l´Eixample",60,2,1,1100,"Piso","Eixample"
"6084","Camp d´en Grassot - Gràcia N.",90,4,1,900,"Apartamento","Gràcia"
"6086","Camp de l´Arpa",90,3,1,850,"Piso","Sant Martí"
"6089","Sant Ramon - Maternitat",96,2,2,1300,"Piso","Les Corts"
"6090","Sant Ramon - Maternitat",96,2,2,1350,"Piso","Les Corts"
"6092","Taxonera",225,5,3,2000,"Dúplex","Horta-Guinardó"
"6093","Camp de l´Arpa",80,4,2,1000,"Piso","Sant Martí"
"6097","Sant Ramon - Maternitat",96,2,2,1300,"Piso","Les Corts"
"6098","Sant Ramon - Maternitat",96,2,2,1350,"Piso","Les Corts"
"6099","Sant Ramon - Maternitat",96,2,2,1375,"Piso","Les Corts"
"6100","Sant Ramon - Maternitat",96,2,2,1400,"Piso","Les Corts"
"6101","Hostafrancs",67,2,1,800,"Piso","Sants-Montjuïc"
"6102","Navas",85,3,1,890,"Piso","Sant Andreu"
"6103","Les Corts",51,2,1,850,"Piso","Les Corts"
"6104","Dreta de l´Eixample",92,2,1,2050,"Piso","Eixample"
"6105","St. Pere - Sta. Caterina - El Born",95,2,2,2500,"Piso","Ciutat Vella"
"6106","Provençals del Poblenou",75,3,1,950,"Piso","Sant Martí"
"6107","Esquerra Alta de l´Eixample",108,3,2,1275,"Piso","Eixample"
"6108","St. Pere - Sta. Caterina - El Born",100,3,2,1195,"Piso","Ciutat Vella"
"6109","Sagrada Família",60,2,1,975,"Piso","Eixample"
"6110","Guinardó",70,2,1,870,"Piso","Horta-Guinardó"
"6111","Dreta de l´Eixample",133,4,2,1700,"Piso","Eixample"
"6112","Les Corts",118,3,2,1650,"Piso","Les Corts"
"6113","Baix Guinardó",64,3,2,1300,"Piso","Horta-Guinardó"
"6114","Esquerra Alta de l´Eixample",146,3,1,1525,"Piso","Eixample"
"6115","Gòtic",114,3,2,1400,"Piso","Ciutat Vella"
"6116","Les Corts",85,3,2,1075,"Piso","Les Corts"
"6117","Glòries El Parc",73,4,1,850,"Piso","Sant Martí"
"6120","Sant Gervasi - Galvany",150,4,2,2700,"Ático","Sarrià-Sant Gervasi"
"6121","Badal",75,3,1,800,"Piso","Sants-Montjuïc"
"6122","Camp de l´Arpa",78,2,2,900,"Piso","Sant Martí"
"6123","Dreta de l´Eixample",105,5,2,1000,"Piso","Eixample"
"6124","Dreta de l´Eixample",180,3,2,2900,"Piso","Eixample"
"6125","Camp d´en Grassot - Gràcia N.",85,2,2,1860,"Piso","Gràcia"
"6126","Sant Gervasi - Bonanova",60,2,1,1200,"Piso","Sarrià-Sant Gervasi"
"6128","Diagonal Mar - La Mar Bella",105,4,2,1400,"Piso","Sant Martí"
"6129","Vallcarca - Penitents",78,3,1,950,"Piso","Gràcia"
"6130","Roquetes",55,2,1,680,"Piso","Nou Barris"
"6131","Vila de Gràcia",69,2,2,1400,"Apartamento","Gràcia"
"6132","Congrés - Indians",75,3,2,900,"Piso","Sant Andreu"
"6133","Les Corts",85,3,2,1300,"Piso","Les Corts"
"6134","Esquerra Alta de l´Eixample",120,3,2,1150,"Piso","Eixample"
"6136","Sant Gervasi - Galvany",150,4,2,2700,"Ático","Sarrià-Sant Gervasi"
"6137","Esquerra Alta de l´Eixample",70,2,1,1650,"Piso","Eixample"
"6138","Gòtic",105,4,2,1500,"Piso","Ciutat Vella"
"6139","Badal",65,3,1,800,"Piso","Sants-Montjuïc"
"6141","Poble Sec",95,4,2,1350,"Piso","Sants-Montjuïc"
"6142","La Bordeta",90,2,1,1300,"Piso","Sants-Montjuïc"
"6143","Sant Ramon - Maternitat",76,4,2,1000,"Piso","Les Corts"
"6144","Esquerra Alta de l´Eixample",65,2,1,800,"Piso","Eixample"
"6145","Raval",45,2,1,1100,"Piso","Ciutat Vella"
"6147","Dreta de l´Eixample",120,2,2,2000,"Piso","Eixample"
"6148","Poble Sec",47,2,1,1050,"Piso","Sants-Montjuïc"
"6150","Gòtic",114,3,2,1500,"Piso","Ciutat Vella"
"6153","Les Corts",125,2,1,1600,"Piso","Les Corts"
"6154","Pedralbes",161,3,3,2350,"Piso","Les Corts"
"6156","El Clot",65,2,1,950,"Piso","Sant Martí"
"6157","El Clot",65,2,1,950,"Piso","Sant Martí"
"6158","Gòtic",250,5,5,5900,"Piso","Ciutat Vella"
"6159","Provençals del Poblenou",82,2,2,1600,"Piso","Sant Martí"
"6160","Dreta de l´Eixample",160,6,3,3600,"Piso","Eixample"
"6161","Les Corts",130,4,2,1650,"Piso","Les Corts"
"6162","Fort Pienc",109,3,1,1450,"Piso","Eixample"
"6163","Fort Pienc",83,3,1,1030,"Piso","Eixample"
"6164","Raval",59,2,2,850,"Apartamento","Ciutat Vella"
"6165","La Marina-Montjuïc",85,3,1,1295,"Ático","Sants-Montjuïc"
"6166","Barceloneta",72,3,2,1090,"Ático","Ciutat Vella"
"6168","Vila de Gràcia",62,3,1,840,"Piso","Gràcia"
"6170","Sant Ramon - Maternitat",63,2,1,975,"Piso","Les Corts"
"6171","Raval",140,5,2,1200,"Piso","Ciutat Vella"
"6172","Fort Pienc",93,4,2,1100,"Piso","Eixample"
"6173","La Marina-Montjuïc",115,5,2,1100,"Piso","Sants-Montjuïc"
"6174","Camp d´en Grassot - Gràcia N.",110,5,2,1800,"Piso","Gràcia"
"6175","Sant Gervasi - Galvany",84,4,2,1400,"Piso","Sarrià-Sant Gervasi"
"6176","Sant Gervasi - Bonanova",110,3,2,1500,"Piso","Sarrià-Sant Gervasi"
"6180","Raval",42,2,1,830,"Piso","Ciutat Vella"
"6181","Raval",42,2,1,830,"Piso","Ciutat Vella"
"6182","Sant Gervasi - Bonanova",300,6,5,7900,"Ático","Sarrià-Sant Gervasi"
"6183","Les Corts",98,4,2,1400,"Apartamento","Les Corts"
"6185","Sant Ramon - Maternitat",125,4,2,1980,"Piso","Les Corts"
"6186","Sant Antoni",53,2,1,1350,"Piso","Eixample"
"6187","Esquerra Alta de l´Eixample",110,3,2,1200,"Piso","Eixample"
"6188","Sagrada Família",55,2,2,725,"Piso","Eixample"
"6189","Bon Pastor",70,3,1,800,"Piso","Sant Andreu"
"6190","Sant Gervasi - Bonanova",180,5,3,1990,"Piso","Sarrià-Sant Gervasi"
"6192","Sant Gervasi - Galvany",95,3,2,1550,"Piso","Sarrià-Sant Gervasi"
"6194","Putget - Farró",68,3,1,995,"Piso","Sarrià-Sant Gervasi"
"6195","Vila de Gràcia",70,2,1,1700,"Apartamento","Gràcia"
"6196","Esquerra Alta de l´Eixample",103,4,2,1300,"Piso","Eixample"
"6197","Sant Gervasi - Galvany",179,4,4,2850,"Piso","Sarrià-Sant Gervasi"
"6198","Sarrià",90,3,2,1304,"Piso","Sarrià-Sant Gervasi"
"6199","Glòries El Parc",57,2,1,756,"Piso","Sant Martí"
"6200","Baix Guinardó",93,4,2,1075,"Piso","Horta-Guinardó"
"6204","Sant Gervasi - Galvany",214,5,4,2850,"Piso","Sarrià-Sant Gervasi"
"6205","Prosperitat",60,2,1,770,"Piso","Nou Barris"
"6206","Sant Genís dels Agudells",72,2,1,795,"Piso","Horta-Guinardó"
"6208","Putget - Farró",68,3,1,995,"Piso","Sarrià-Sant Gervasi"
"6209","Vila de Gràcia",70,2,1,1700,"Apartamento","Gràcia"
"6211","Vila de Gràcia",58,3,1,889,"Piso","Gràcia"
"6212","Sant Gervasi - Galvany",174,3,2,2300,"Piso","Sarrià-Sant Gervasi"
"6213","Sant Gervasi - Galvany",300,5,6,5000,"Piso","Sarrià-Sant Gervasi"
"6214","Sant Gervasi - Galvany",85,2,1,2500,"Piso","Sarrià-Sant Gervasi"
"6215","Provençals del Poblenou",77,3,2,1050,"Piso","Sant Martí"
"6216","Sant Gervasi - Galvany",75,2,1,1150,"Piso","Sarrià-Sant Gervasi"
"6218","Barceloneta",47,2,1,800,"Apartamento","Ciutat Vella"
"6219","Esquerra Alta de l´Eixample",78,4,1,1300,"Apartamento","Eixample"
"6220","Gòtic",80,2,2,1200,"Piso","Ciutat Vella"
"6222","Les Corts",80,2,1,1130,"Piso","Les Corts"
"6223","Camp d´en Grassot - Gràcia N.",139,5,2,2300,"Piso","Gràcia"
"6224","Gòtic",75,3,1,1300,"Piso","Ciutat Vella"
"6225","Camp de l´Arpa",74,2,2,900,"Piso","Sant Martí"
"6226","Gòtic",75,3,1,1300,"Piso","Ciutat Vella"
"6227","Camp de l´Arpa",74,2,2,900,"Piso","Sant Martí"
"6229","Gòtic",93,3,2,1600,"Apartamento","Ciutat Vella"
"6230","Sant Antoni",75,4,1,1200,"Piso","Eixample"
"6231","Vall d´Hebron",78,2,1,950,"Piso","Horta-Guinardó"
"6232","Sant Andreu",77,3,1,1050,"Piso","Sant Andreu"
"6234","Sant Antoni",94,3,1,1250,"Piso","Eixample"
"6236","Sant Gervasi - Galvany",107,4,2,1300,"Piso","Sarrià-Sant Gervasi"
"6237","Sant Gervasi - Bonanova",75,4,1,1000,"Piso","Sarrià-Sant Gervasi"
"6238","Sant Gervasi - Bonanova",75,4,1,1000,"Piso","Sarrià-Sant Gervasi"
"6239","Guinardó",226,5,3,2300,"Piso","Horta-Guinardó"
"6241","Sant Antoni",97,4,2,1275,"Piso","Eixample"
"6242","Sant Gervasi - Bonanova",135,2,2,2400,"Piso","Sarrià-Sant Gervasi"
"6243","Sant Antoni",75,3,2,1100,"Piso","Eixample"
"6244","Dreta de l´Eixample",74,3,1,990,"Piso","Eixample"
"6245","Esquerra Baixa de l´Eixample",92,2,1,1200,"Piso","Eixample"
"6246","Fort Pienc",85,2,2,1600,"Piso","Eixample"
"6249","Camp d´en Grassot - Gràcia N.",106,3,2,1600,"Piso","Gràcia"
"6250","Sant Gervasi - Galvany",155,4,3,1990,"Piso","Sarrià-Sant Gervasi"
"6254","Esquerra Alta de l´Eixample",68,2,2,1250,"Piso","Eixample"
"6255","Glòries El Parc",101,3,2,1400,"Piso","Sant Martí"
"6257","Raval",60,2,1,1400,"Piso","Ciutat Vella"
"6258","Ciutat Meridiana",65,3,1,890,"Piso","Nou Barris"
"6259","Esquerra Alta de l´Eixample",68,2,2,1250,"Piso","Eixample"
"6260","Glòries El Parc",101,3,2,1400,"Piso","Sant Martí"
"6261","Sagrada Família",77,3,2,1700,"Piso","Eixample"
"6262","Sagrada Família",83,3,2,1200,"Piso","Eixample"
"6263","Esquerra Alta de l´Eixample",90,4,1,1300,"Piso","Eixample"
"6266","Raval",116,3,2,1100,"Piso","Ciutat Vella"
"6267","Dreta de l´Eixample",90,2,2,1800,"Piso","Eixample"
"6268","Esquerra Baixa de l´Eixample",60,2,1,1300,"Piso","Eixample"
"6270","Gòtic",75,2,2,1100,"Piso","Ciutat Vella"
"6271","Poble Sec",54,2,1,990,"Piso","Sants-Montjuïc"
"6272","Poble Sec",54,2,1,1090,"Piso","Sants-Montjuïc"
"6273","Les Corts",82,3,1,1100,"Piso","Les Corts"
"6277","Raval",60,2,1,1400,"Piso","Ciutat Vella"
"6278","Ciutat Meridiana",65,3,1,890,"Piso","Nou Barris"
"6279","Raval",80,4,2,980,"Piso","Ciutat Vella"
"6280","Turó de la Peira - Can Peguera",75,2,1,1100,"Piso","Nou Barris"
"6281","Esquerra Alta de l´Eixample",94,3,2,2500,"Piso","Eixample"
"6282","Provençals del Poblenou",117,3,1,1150,"Piso","Sant Martí"
"6283","Raval",118,4,2,1250,"Piso","Ciutat Vella"
"6284","Sant Gervasi - Bonanova",244,5,3,4700,"Piso","Sarrià-Sant Gervasi"
"6286","Can Baró",72,3,1,790,"Piso","Horta-Guinardó"
"6287","Esquerra Baixa de l´Eixample",80,2,2,1217,"Piso","Eixample"
"6288","Camp d´en Grassot - Gràcia N.",69,3,1,1400,"Piso","Gràcia"
"6289","Esquerra Alta de l´Eixample",110,3,2,2000,"Piso","Eixample"
"6290","Esquerra Alta de l´Eixample",108,3,2,2900,"Piso","Eixample"
"6291","Esquerra Alta de l´Eixample",74,2,1,1050,"Piso","Eixample"
"6292","Sants",54,2,1,690,"Piso","Sants-Montjuïc"
"6293","La Sagrera",97,4,2,977,"Piso","Sant Andreu"
"6294","Dreta de l´Eixample",95,2,2,1750,"Dúplex","Eixample"
"6295","Gòtic",110,3,2,1800,"Dúplex","Ciutat Vella"
"6296","Sant Gervasi - Galvany",150,3,2,3600,"Piso","Sarrià-Sant Gervasi"
"6297","Les Corts",85,3,2,1100,"Apartamento","Les Corts"
"6298","Dreta de l´Eixample",164,2,2,3000,"Ático","Eixample"
"6299","Gòtic",70,2,1,950,"Piso","Ciutat Vella"
"6300","Dreta de l´Eixample",220,5,5,4800,"Piso","Eixample"
"6301","Dreta de l´Eixample",110,2,2,2700,"Piso","Eixample"
"6302","Gòtic",88,2,2,1250,"Piso","Ciutat Vella"
"6303","Besòs - Maresme",70,2,1,950,"Piso","Sant Martí"
"6304","Esquerra Baixa de l´Eixample",80,3,1,1000,"Piso","Eixample"
"6305","Vila de Gràcia",75,3,1,1000,"Piso","Gràcia"
"6306","Putget - Farró",83,3,2,1400,"Piso","Sarrià-Sant Gervasi"
"6307","La Sagrera",80,3,2,990,"Piso","Sant Andreu"
"6310","El Clot",49,2,1,740,"Piso","Sant Martí"
"6311","Sagrada Família",90,3,2,1950,"Piso","Eixample"
"6312","Dreta de l´Eixample",90,3,2,2900,"Piso","Eixample"
"6313","Sant Gervasi - Galvany",70,2,2,1150,"Piso","Sarrià-Sant Gervasi"
"6315","Sant Gervasi - Galvany",85,2,2,1500,"Piso","Sarrià-Sant Gervasi"
"6316","Sant Ramon - Maternitat",149,4,2,1500,"Piso","Les Corts"
"6317","Horta",79,2,2,838,"Piso","Horta-Guinardó"
"6319","Sant Gervasi - Galvany",130,4,2,1450,"Piso","Sarrià-Sant Gervasi"
"6321","Sant Gervasi - Galvany",260,5,4,5500,"Ático","Sarrià-Sant Gervasi"
"6322","St. Pere - Sta. Caterina - El Born",80,3,1,1400,"Ático","Ciutat Vella"
"6323","Gòtic",70,2,1,1300,"Ático","Ciutat Vella"
"6324","Esquerra Baixa de l´Eixample",76,4,2,1100,"Ático","Eixample"
"6326","Esquerra Baixa de l´Eixample",66,3,1,900,"Piso","Eixample"
"6327","Dreta de l´Eixample",95,3,1,1100,"Piso","Eixample"
"6328","Esquerra Baixa de l´Eixample",32,2,1,700,"Piso","Eixample"
"6329","Gòtic",85,3,2,1200,"Piso","Ciutat Vella"
"6330","Sagrada Família",73,3,2,1700,"Piso","Eixample"
"6331","Esquerra Alta de l´Eixample",60,2,1,931,"Piso","Eixample"
"6332","Gòtic",70,3,2,800,"Piso","Ciutat Vella"
"6333","Dreta de l´Eixample",133,4,2,1700,"Piso","Eixample"
"6334","Sarrià",58,3,1,990,"Piso","Sarrià-Sant Gervasi"
"6335","Esquerra Alta de l´Eixample",72,3,2,1400,"Piso","Eixample"
"6336","Diagonal Mar - La Mar Bella",115,3,2,2150,"Piso","Sant Martí"
"6338","Font d´en Fargas",65,3,1,750,"Piso","Horta-Guinardó"
"6339","Dreta de l´Eixample",100,2,2,1600,"Piso","Eixample"
"6341","Sant Gervasi - Galvany",133,3,2,3500,"Piso","Sarrià-Sant Gervasi"
"6342","Sant Gervasi - Galvany",450,4,4,15000,"Piso","Sarrià-Sant Gervasi"
"6343","Gòtic",110,3,3,2700,"Piso","Ciutat Vella"
"6344","Fort Pienc",80,3,1,975,"Piso","Eixample"
"6345","Putget - Farró",75,3,1,960,"Piso","Sarrià-Sant Gervasi"
"6346","Sant Gervasi - Bonanova",51,2,1,815,"Piso","Sarrià-Sant Gervasi"
"6347","Sant Antoni",81,2,1,1000,"Piso","Eixample"
"6348","Besòs - Maresme",113,3,2,3900,"Piso","Sant Martí"
"6349","St. Pere - Sta. Caterina - El Born",65,3,1,900,"Piso","Ciutat Vella"
"6351","Gòtic",55,2,2,1500,"Piso","Ciutat Vella"
"6352","Esquerra Baixa de l´Eixample",82,2,2,1800,"Piso","Eixample"
"6353","Baix Guinardó",65,3,2,1400,"Piso","Horta-Guinardó"
"6354","Baix Guinardó",64,3,1,1300,"Piso","Horta-Guinardó"
"6355","Dreta de l´Eixample",120,3,2,2200,"Piso","Eixample"
"6356","Esquerra Alta de l´Eixample",110,3,2,1200,"Piso","Eixample"
"6357","Vila de Gràcia",75,3,1,1160,"Piso","Gràcia"
"6360","Tres Torres",270,5,4,5100,"Apartamento","Sarrià-Sant Gervasi"
"6362","Provençals del Poblenou",100,3,1,970,"Piso","Sant Martí"
"6363","Hostafrancs",226,4,1,2025,"Piso","Sants-Montjuïc"
"6364","Esquerra Alta de l´Eixample",79,3,1,975,"Piso","Eixample"
"6365","Poblenou",99,3,2,1200,"Piso","Sant Martí"
"6367","Turó de la Peira - Can Peguera",75,2,1,900,"Piso","Nou Barris"
"6368","Vilapicina - Torre Llobeta",70,3,1,850,"Piso","Nou Barris"
"6372","Sant Gervasi - Galvany",90,3,2,1200,"Piso","Sarrià-Sant Gervasi"
"6374","Gòtic",90,4,2,1890,"Piso","Ciutat Vella"
"6375","Raval",58,2,1,747,"Piso","Ciutat Vella"
"6376","Sant Gervasi - Galvany",70,2,1,1500,"Piso","Sarrià-Sant Gervasi"
"6377","Dreta de l´Eixample",110,3,2,2130,"Piso","Eixample"
"6378","Camp de l´Arpa",85,3,1,1100,"Piso","Sant Martí"
"6379","Dreta de l´Eixample",80,3,1,1190,"Piso","Eixample"
"6380","Dreta de l´Eixample",75,2,3,1190,"Piso","Eixample"
"6381","Raval",62,2,2,1090,"Piso","Ciutat Vella"
"6382","Fort Pienc",60,2,1,1400,"Piso","Eixample"
"6384","Raval",65,2,2,1090,"Piso","Ciutat Vella"
"6385","Gòtic",109,2,1,1253,"Piso","Ciutat Vella"
"6386","Esquerra Alta de l´Eixample",87,3,1,1100,"Piso","Eixample"
"6387","Carmel",60,3,1,770,"Piso","Horta-Guinardó"
"6388","Esquerra Baixa de l´Eixample",61,3,2,1260,"Piso","Eixample"
"6390","Dreta de l´Eixample",75,2,1,2000,"Piso","Eixample"
"6392","El Clot",69,3,1,850,"Piso","Sant Martí"
"6393","Vila de Gràcia",65,2,1,1800,"Ático","Gràcia"
